card_id,blocker_name,blocker_comment,block_start,block_end,"block_time (days)",blocked_in_workspace,blocked_in_board,blocked_in_workflow,blocked_in_section,blocked_in_column,blocked_in_lane,co_owners,owners,size,last_modified,last_moved
3528,"Bloqueada por outra tarefa","Aguardando outra task de pix avulso","2024-07-23 19:24:56",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Code Review - Back-end",Desenvolvimento,benjamim,"Vinicius,benjamim",5,"2024-08-01 11:36:13","2024-07-12 13:28:40"
3773,"Waiting on others","aguardando validacao do marketing","2024-03-27 13:56:26",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Em Andamento",Desenvolvimento,"Maieza Borges","Vinicius,Maieza Borges",3,"2024-08-01 11:00:18","2024-03-27 13:56:12"
3774,"Bloqueada por outra tarefa",,"2024-06-05 14:27:14",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress",Backlog,Desenvolvimento,,Vinicius,3,"2024-07-29 14:59:46","2024-06-03 15:59:48"
4092,"Generic Blocker","Demanda pausada para dar prioridades em outras demandas.","2024-07-31 14:19:14",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Em Andamento",Desenvolvimento,,Fernando,2,"2024-07-31 14:19:14","2024-03-21 15:10:58"
4192,"Generic Blocker","Aguardando voltar ao Gestão de frotas","2024-07-24 10:25:12",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Code Review - Back-end",Desenvolvimento,benjamim,"Vinicius,benjamim",5,"2024-07-29 14:59:46","2024-07-10 15:59:52"
4240,"Aguardando ajuste no back-end","não esta claro o entendimento da tarefa.","2024-08-02 14:32:56",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Code Review - Back-end",Desenvolvimento,Djonathan,"Vinicius,Djonathan",5,"2024-08-02 14:32:56","2024-06-12 09:41:01"
4399,"Bloqueada por outra tarefa","Aguardando a finalização das demais demandas do Epico - 4239, para subir as alterações...","2024-06-05 15:07:12",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Code Review - Front-end",Desenvolvimento,"Deise,Djonathan","Vinicius,Deise,Djonathan",3,"2024-07-29 14:59:46","2024-06-05 09:35:03"
4401,"Aguardando ajuste no back-end","PDF está vindo com algumas imagens quebradas","2024-07-03 07:26:01",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Code Review - Front-end",Desenvolvimento,"Deise,Djonathan","Vinicius,Deise,Djonathan",3,"2024-08-01 11:13:24","2024-07-01 16:08:16"
4428,"Aguardando ajuste no back-end","não esta claro o entendimento da tarefa","2024-08-02 14:30:26",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Code Review - Back-end",Desenvolvimento,Djonathan,"Vinicius,Djonathan",5,"2024-08-02 14:30:26","2024-06-11 18:14:25"
4439,"Generic Blocker","Finalizando outras demandas de prioridade","2024-07-31 17:11:09",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Em Andamento",Desenvolvimento,,mateusKamel,2,"2024-07-31 17:11:09",
4634,"Bloqueada por outra tarefa",,"2024-07-22 10:26:06",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress",Backlog,Desenvolvimento,Djonathan,"Vinicius,Djonathan",8,"2024-07-29 14:59:46",
4676,"Waiting on others","Falta a implementação por parte da logística para poder testar de enviar as passagens","2024-07-29 13:08:23",,0.38,"Squad Gestão de Frotas","Gestão de Frotas",Desenvolvimento,"In Progress","Em Andamento",Desenvolvimento,Marlon,"Vinicius,Marlon",5,"2024-07-29 14:59:46","2024-07-23 16:33:23"
